ID,AUTHOR,TIMELINE,DATE,TITLE,TECHNIQUE,TYPE,URL
15189,"KRAFFT, Johann Peter",1801-1850,1814-15,Franz Xaver Richter von Binnenthal,"Oil on canvas, 53 x 43 cn",portrait,https://www.wga.hu/html/k/krafft/richter2.html
15190,"KRAFFT, Johann Peter",1801-1850,1825,The Attack of Zrinyi,"Oil on canvas, 455 x 645 cm",historical,https://www.wga.hu/html/k/krafft/zrinyi.html
15191,"KRAFFT, Johann Peter",1801-1850,1832,Equestrian Portrait of Franz I,"Oil on canvas, 361 x 258 cm",portrait,https://www.wga.hu/html/k/krafft/franz1.html
15192,"KRAFFT, Johann Peter",1801-1850,1842-43,Ruggiero and Angelica,"Oil on wood, 134 x 103 cm",mythological,https://www.wga.hu/html/k/krafft/ruggiero.html
15193,"KRAFFT, Johann Peter",1801-1850,1856,Faust on Easter Morning,"Oil on canvas, 134 x 112 cm",other,https://www.wga.hu/html/k/krafft/faust.html
15194,"KRAFFT, Per the Elder",1751-1800,1767-68,Portrait of Natalia Alexandrovna Repnina,"Oil on canvas, 75 x 57 cm",portrait,https://www.wga.hu/html/k/krafft_p/repnina.html
15195,"KREUGER, Nils Edvard",1851-1900,1885,Gypsy on Öland,"Oil on panel, 32 x 42 cm",genre,https://www.wga.hu/html/k/kreuger/gypsy.html
15196,"KREUGER, Nils Edvard",1851-1900,1885,"Snowy Weather, Paris","Oil on canvas, 127 x 184 cm",landscape,https://www.wga.hu/html/k/kreuger/snowy.html
15197,"KREUTZINGER, Joseph",1751-1800,1799,Portrait of Count Alexander Suvorov,"Oil on canvas, 40 x 33 cm",portrait,https://www.wga.hu/html/k/kreutzin/suvorov.html
15198,"KREUTZINGER, Joseph",1751-1800,1808,Portrait of Ferenc Kazinczy,"Oil on canvas, 51 x 45 cm",portrait,https://www.wga.hu/html/k/kreutzin/kazinczy.html
15199,"KROHG, Christian",1851-1900,1882,Portrait of the Artist Karl Nordström at Grèz,"Oil on canvas, 62 x 47 cm",portrait,https://www.wga.hu/html/k/krohg/1portrai.html
15200,"KROHG, Christian",1851-1900,1884,Look ahead. The Harbour at Bergen,"Oil on canvas, 63 x 86 cm",genre,https://www.wga.hu/html/k/krohg/2bergen.html
15201,"KROHG, Christian",1851-1900,1885,Portrait of the Artist Gerhard Munthe,"Oil on canvas, 150 x 115 cm",portrait,https://www.wga.hu/html/k/krohg/3munthe.html
15202,"KROHG, Christian",1851-1900,1898,Paris Hackney Cab Driver,"Oil on canvas, 43 x 29 cm",genre,https://www.wga.hu/html/k/krohg/4driver.html
15203,"KRØYER, Peter Severin",1851-1900,1883,Artists at Breakfast,"Oil on canvas, 82 x 61 cm",genre,https://www.wga.hu/html/k/kroyer/breakfas.html
15204,"KRØYER, Peter Severin",1851-1900,1884-88,Hip Hip Hooray! An Artists' Party at Skagen,"Oil on canvas, 135 x 166 cm",genre,https://www.wga.hu/html/k/kroyer/hip-hip.html
15205,"KRØYER, Peter Severin",1851-1900,1886,Interior of a Tavern,"Oil on canvas, 86 x 114 cm",interior,https://www.wga.hu/html/k/kroyer/interior.html
15206,"KRØYER, Peter Severin",1851-1900,1892,Bathing Children,"Oil on canvas, 33 x 41 cm",other,https://www.wga.hu/html/k/kroyer/zbathing.html
15207,"KRØYER, Peter Severin",1851-1900,1899,Boys Bathing at Skagen. Summer Evening,"Oil on canvas, 101 x 153 cm",genre,https://www.wga.hu/html/k/kroyer/ybathing.html
15208,"KRÜGER, Franz",1801-1850,1829,Parade at the Opernplatz,"Oil on canvas, 249 x 347 cm",landscape,https://www.wga.hu/html/k/kruger/parade.html
15209,"KRÜGER, Franz",1801-1850,1830-31,Equestrian Portrait of Frederick William III,"Oil on canvas, 361 x 258 cm",portrait,https://www.wga.hu/html/k/kruger/william3.html
15210,"KRÜGER, Franz",1801-1850,1837,Equestrian Portrait of Alexander I,"Oil on canvas, 484 x 344 cm",portrait,https://www.wga.hu/html/k/kruger/alexande.html
15211,"KRÜGER, Franz",1801-1850,1839,Two Cuirassiers from the Regiment of Czar Nicholas I,"Oil on canvas, 69 x 55 cm",genre,https://www.wga.hu/html/k/kruger/cuirassi.html
15212,"KRÜGER, Franz",1801-1850,1846,Hermann Fürst von Pückler-Muskau in Prussian Uniform,Oil on canvas,portrait,https://www.wga.hu/html/k/kruger/puckler.html
15213,"KRÜGER, Franz",1801-1850,1850,Portrait of Prince Pyotr Volkonsky,"Oil on canvas, 283 x 188 cm",portrait,https://www.wga.hu/html/k/kruger/volkonsk.html
15214,"KRÜGER, Franz",1801-1850,1851,Portrait of Alexander Arkadyevich Suvorov,"Oil on canvas, 138 x 100 cm",portrait,https://www.wga.hu/html/k/kruger/suvorov.html
15215,"KRÜGER, Franz",1801-1850,1852,Portrait of Emperor Nicholas I,"Oil on canvas, 94 x 72 cm",portrait,https://www.wga.hu/html/k/kruger/nicholas.html
15216,"KRÜGER, Franz",1801-1850,c. 1817,Prince Augustus of Prussia,"Oil on canvas, 63 x 47 cm",portrait,https://www.wga.hu/html/k/kruger/prince_a.html
15217,"KUCHARSKI, Aleksander",1751-1800,1808-10,Madame Barbier-Walbonne,"Pastel on blue paper, oval 64 x 54 cm",portrait,https://www.wga.hu/html/k/kucharsk/barbier.html
15218,"KUIJL, Gerard van",1601-1650,-,Old Testament Scene,"Oil on canvas, 96 x 130 cm",religious,https://www.wga.hu/html/k/kuijl/eliezer.html
15219,"KUIJL, Gerard van",1601-1650,1651,A Musical Party,"Oil on canvas, 99 x 131 cm",genre,https://www.wga.hu/html/k/kuijl/musical2.html
15220,"KUIJL, Gerard van",1601-1650,c. 1651,A Musical Party,"Oil on canvas, 156 x 200 cm",genre,https://www.wga.hu/html/k/kuijl/musical1.html
15221,"KULMBACH, Hans Süss von",1501-1550,1511,Adoration of the Magi,"Linden panel, 153 x 110 cm",religious,https://www.wga.hu/html/k/kulmbach/adoratio.html
15222,"KULMBACH, Hans Süss von",1501-1550,1511,Portrait of the Margrave Casimir of Brandenburg,"Lime panel, 43 x 31,5 cm",portrait,https://www.wga.hu/html/k/kulmbach/margrave.html
15223,"KULMBACH, Hans Süss von",1501-1550,1513,The Ascension of Christ,"Oil on fir panel, 60 x 36 cm",religious,https://www.wga.hu/html/k/kulmbach/ascensi.html
15224,"KULMBACH, Hans Süss von",1501-1550,1513,The Ascension of Christ (detail),Oil on fir panel,religious,https://www.wga.hu/html/k/kulmbach/ascensi1.html
15225,"KULMBACH, Hans Süss von",1501-1550,1514-16,The Calling of St Peter,"Oil on wood, 130 x 100 cm",religious,https://www.wga.hu/html/k/kulmbach/calling.html
15226,"KULMBACH, Hans Süss von",1501-1550,c. 1508,Girl Making a Garland,"Oil on poplar panel, 19 x 15 cm",genre,https://www.wga.hu/html/k/kulmbach/girlgarl.html
15227,"KULMBACH, Hans Süss von",1501-1550,c. 1508,Portrait of a Young Man,"Oil on poplar panel, 19 x 15 cm",portrait,https://www.wga.hu/html/k/kulmbach/port_man.html
15228,"KUNST, Cornelis Cornelisz.",1501-1550,1530,Scenes from the Life of St. Anthony Abbot,"Oil on panel, 55 x 44 cm",religious,https://www.wga.hu/html/k/kunst/a_abbot.html
15229,"KUPECKY, Jan",1701-1750,-,Portrait of Ádám Mányoki,"Oil on canvas, 84,5 x 66,5 cm",portrait,https://www.wga.hu/html/k/kupecky/3manyoki.html
15230,"KUPECKY, Jan",1701-1750,-,Portrait of a Gentleman,"Oil on canvas, 71 x 58 cm",portrait,https://www.wga.hu/html/k/kupecky/5portrai.html
15231,"KUPECKY, Jan",1701-1750,1690s,Young Man with a Violin,"Oil on canvas, 89,5 x 72 cm",portrait,https://www.wga.hu/html/k/kupecky/2youngma.html
15232,"KUPECKY, Jan",1701-1750,1723,"Portrait of Adam Philipp, Count Losy von Losymthal","Oil on canvas, 94 x 76 cm",portrait,https://www.wga.hu/html/k/kupecky/4count.html
15233,"KUPECKY, Jan",1701-1750,1730s,Portrait of the Court Musician Josef Lemberger,Oil on canvas,portrait,https://www.wga.hu/html/k/kupecky/4lemberg.html
15234,"KUPECKY, Jan",1701-1750,c. 1690,Self-Portrait,"Oil on canvas, 25,5 x 20,5 cm",portrait,https://www.wga.hu/html/k/kupecky/1selfpor.html
15235,"KYHN, Vilhelm",1801-1850,1850-52,Young Boy Seated on a Wall Overlooking Capri,"Oil on canvas, 32 x 44 cm",genre,https://www.wga.hu/html/k/kyhn/youngboy.html
15236,"KÖNIG, Johann",1601-1650,-,The Death of Niobe's Children,"Oil on canvas, 80 x 97 cm",mythological,https://www.wga.hu/html/k/konig/deathnio.html
15237,"KÖNIG, Johann",1601-1650,1620s,Extensive Landscape with the Flight into Egypt,"Oil on copper, 33 x 50 cm",landscape,https://www.wga.hu/html/k/konig/extensiv.html
